codigo_uf,uf,nome,latitude,longitude
11,RO,Rondônia,-10.943145,-62.8277863
12,AC,Acre,-9.0478679,-70.5264976
13,AM,Amazonas,-4.479925,-63.5185396
14,RR,Roraima,2.135138,-61.3631922
15,PA,Pará,-4.7493933,-52.8973006
16,AP,Amapá,1.3545442,-51.9161977
17,TO,Tocantins,-10.8855129,-48.3716912
21,MA,Maranhão,-5.2085503,-45.3930262
22,PI,Piauí,-7.6992782,-42.5043787
23,CE,Ceará,-5.3264703,-39.7156073
24,RN,Rio Grande do Norte,-5.6781175,-36.4781776
25,PB,Paraíba,-7.1219366,-36.7246845
26,PE,Pernambuco,-8.4116316,-37.5919699
27,AL,Alagoas,-9.6611661,-36.6502426
28,SE,Sergipe,-10.6743911,-37.3773519
29,BA,Bahia,-12.285251,-41.9294776
31,MG,Minas Gerais,-18.5264844,-44.1588654
32,ES,Espírito Santo,-19.5687682,-40.1721991
33,RJ,Rio de Janeiro,-22.2752762,-42.419415
35,SP,São Paulo,-21.9549806,-49.0232348
41,PR,Paraná,-24.4842187,-51.8148872
42,SC,Santa Catarina,-27.0628367,-51.114965
43,RS,Rio Grande do Sul,-29.8425284,-53.7680577
50,MS,Mato Grosso do Sul,-19.5852564,-54.4794731
51,MT,Mato Grosso,-12.2115009,-55.5716547
52,GO,Goiás,-15.9323662,-50.1392928
53,DF,Distrito Federal,-15.7754462,-47.7970891
